economy,year,value,indicator description,indicator code
DJI,2012,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ERI,2012,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ETH,2012,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GHA,2012,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GIN,2012,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GMB,2012,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GNB,2012,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
KEN,2012,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LBR,2012,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LSO,2012,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MDG,2012,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MLI,2012,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MOZ,2012,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MRT,2012,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MWI,2012,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NER,2012,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NGA,2012,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
RWA,2012,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SDN,2012,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SEN,2012,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SLE,2012,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SOM,2012,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SSD,2012,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
STP,2012,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TCD,2012,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TGO,2012,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TZA,2012,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
UGA,2012,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZMB,2012,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZWE,2012,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
AGO,2013,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BDI,2013,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BEN,2013,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BFA,2013,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CAF,2013,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CIV,2013,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CMR,2013,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COD,2013,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COG,2013,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COM,2013,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CPV,2013,4.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
DJI,2013,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ERI,2013,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ETH,2013,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GHA,2013,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GIN,2013,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GMB,2013,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GNB,2013,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
KEN,2013,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LBR,2013,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LSO,2013,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MDG,2013,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MLI,2013,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MOZ,2013,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MRT,2013,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MWI,2013,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NER,2013,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NGA,2013,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
RWA,2013,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SDN,2013,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SEN,2013,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SLE,2013,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SOM,2013,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SSD,2013,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
STP,2013,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TCD,2013,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TGO,2013,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TZA,2013,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
UGA,2013,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZMB,2013,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZWE,2013,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
AGO,2014,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BDI,2014,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BEN,2014,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BFA,2014,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CAF,2014,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CIV,2014,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CMR,2014,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COD,2014,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COG,2014,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COM,2014,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CPV,2014,4.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
DJI,2014,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ERI,2014,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ETH,2014,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GHA,2014,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GIN,2014,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GMB,2014,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GNB,2014,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
KEN,2014,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LBR,2014,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LSO,2014,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MDG,2014,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MLI,2014,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MOZ,2014,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MRT,2014,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MWI,2014,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NER,2014,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NGA,2014,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
RWA,2014,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SDN,2014,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SEN,2014,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SLE,2014,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SOM,2014,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SSD,2014,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
STP,2014,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TCD,2014,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TGO,2014,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TZA,2014,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
UGA,2014,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZMB,2014,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZWE,2014,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
AGO,2015,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BDI,2015,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BEN,2015,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BFA,2015,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CAF,2015,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CIV,2015,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CMR,2015,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COD,2015,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COG,2015,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COM,2015,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CPV,2015,4.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
DJI,2015,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ERI,2015,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ETH,2015,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GHA,2015,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GIN,2015,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GMB,2015,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GNB,2015,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
KEN,2015,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LBR,2015,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LSO,2015,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MDG,2015,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MLI,2015,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MOZ,2015,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MRT,2015,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MWI,2015,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NER,2015,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NGA,2015,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
RWA,2015,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SDN,2015,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SEN,2015,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SLE,2015,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SOM,2015,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SSD,2015,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
STP,2015,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TCD,2015,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TGO,2015,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TZA,2015,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
UGA,2015,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZMB,2015,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZWE,2015,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
AGO,2016,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BDI,2016,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BEN,2016,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BFA,2016,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CAF,2016,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CIV,2016,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CMR,2016,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COD,2016,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COG,2016,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COM,2016,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CPV,2016,4.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
DJI,2016,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ERI,2016,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ETH,2016,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GHA,2016,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GIN,2016,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GMB,2016,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GNB,2016,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
KEN,2016,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LBR,2016,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LSO,2016,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MDG,2016,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MLI,2016,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MOZ,2016,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MRT,2016,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MWI,2016,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NER,2016,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NGA,2016,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
RWA,2016,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SDN,2016,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SEN,2016,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SLE,2016,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SOM,2016,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SSD,2016,1.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
STP,2016,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TCD,2016,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TGO,2016,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TZA,2016,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
UGA,2016,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZMB,2016,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZWE,2016,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
AGO,2017,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BDI,2017,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BEN,2017,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BFA,2017,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CAF,2017,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CIV,2017,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CMR,2017,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COD,2017,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COG,2017,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COM,2017,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CPV,2017,4.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
DJI,2017,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ERI,2017,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ETH,2017,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GHA,2017,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GIN,2017,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GMB,2017,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GNB,2017,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
KEN,2017,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LBR,2017,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LSO,2017,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MDG,2017,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MLI,2017,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MOZ,2017,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MRT,2017,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MWI,2017,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NER,2017,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NGA,2017,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
RWA,2017,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SDN,2017,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SEN,2017,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SLE,2017,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SOM,2017,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SSD,2017,1.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
STP,2017,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TCD,2017,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TGO,2017,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TZA,2017,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
UGA,2017,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZMB,2017,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZWE,2017,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
AGO,2018,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BDI,2018,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BEN,2018,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BFA,2018,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CAF,2018,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CIV,2018,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CMR,2018,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COD,2018,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COG,2018,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COM,2018,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CPV,2018,4.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
DJI,2018,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ERI,2018,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ETH,2018,4.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GHA,2018,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GIN,2018,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GMB,2018,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GNB,2018,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
KEN,2018,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LBR,2018,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LSO,2018,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MDG,2018,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MLI,2018,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MOZ,2018,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MRT,2018,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MWI,2018,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NER,2018,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NGA,2018,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
RWA,2018,4.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SDN,2018,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SEN,2018,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SLE,2018,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SOM,2018,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SSD,2018,1.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
STP,2018,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TCD,2018,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TGO,2018,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TZA,2018,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
UGA,2018,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZMB,2018,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZWE,2018,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
AGO,2019,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BDI,2019,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BEN,2019,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BFA,2019,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CAF,2019,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CIV,2019,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CMR,2019,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COD,2019,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COG,2019,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COM,2019,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CPV,2019,4.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
DJI,2019,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ERI,2019,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ETH,2019,4.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GHA,2019,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GIN,2019,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GMB,2019,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GNB,2019,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
KEN,2019,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LBR,2019,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LSO,2019,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MDG,2019,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
