Theme,Topic,Country,Year,Indicator,Value
Theme 2:  Tax Base,Population,Togo,2010,Taxpayers, 
Theme 2:  Tax Base,Population,Togo,2010,Number of corporate income taxpayers:,1686
Theme 2:  Tax Base,Population,Togo,2010,Number of VAT taxpayers:,3595
Theme 2:  Tax Base,Population,Togo,2010,Number of personal income taxpayers:,3780
Theme 2:  Tax Base,Population,Togo,2010,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Population,Togo,2010,Number of wage/salary taxpayers (employees):,119054
Theme 2:  Tax Base,Population,Togo,2010,Number of trust taxpayers:,/
Theme 2:  Tax Base,Population,Togo,2010,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Population,Togo,2010,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Population,Togo,2010,Total number of actual registered taxpayers,/
Theme 2:  Tax Base,Population,Togo,2010,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Togo,2010,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Population,Togo,2010,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Population,Togo,2010,Number of active wage taxpayers (employers):,7746
Theme 2:  Tax Base,Population,Togo,2010,Number of active wage taxpayers (employees):,83845
Theme 2:  Tax Base,Population,Togo,2010,Total number of actual active taxpayers,/
Theme 2:  Tax Base,Population,Togo,2010,Number of large corporate income taxpayers,676
Theme 2:  Tax Base,Population,Togo,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Uganda,2010,Taxpayers, 
Theme 2:  Tax Base,Population,Uganda,2010,Number of corporate income taxpayers:,29142
Theme 2:  Tax Base,Population,Uganda,2010,Number of VAT taxpayers:,16639
Theme 2:  Tax Base,Population,Uganda,2010,Number of personal income taxpayers:,67653
Theme 2:  Tax Base,Population,Uganda,2010,Number of wage/salary taxpayers (employers):,10012
Theme 2:  Tax Base,Population,Uganda,2010,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Population,Uganda,2010,Number of trust taxpayers:,/
Theme 2:  Tax Base,Population,Uganda,2010,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Population,Uganda,2010,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Population,Uganda,2010,Total number of actual registered taxpayers,
Theme 2:  Tax Base,Population,Uganda,2010,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Uganda,2010,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Population,Uganda,2010,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Population,Uganda,2010,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Population,Uganda,2010,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Population,Uganda,2010,Total number of actual active taxpayers,
Theme 2:  Tax Base,Population,Uganda,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Uganda,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Zambia,2010,Taxpayers, 
Theme 2:  Tax Base,Population,Zambia,2010,Number of corporate income taxpayers:,38236
Theme 2:  Tax Base,Population,Zambia,2010,Number of VAT taxpayers:,7660
Theme 2:  Tax Base,Population,Zambia,2010,Number of personal income taxpayers:,44353
Theme 2:  Tax Base,Population,Zambia,2010,Number of wage/salary taxpayers (employers):,30302
Theme 2:  Tax Base,Population,Zambia,2010,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Population,Zambia,2010,Number of trust taxpayers:,/
Theme 2:  Tax Base,Population,Zambia,2010,Number presumptive taxpayers:,48590
Theme 2:  Tax Base,Population,Zambia,2010,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Population,Zambia,2010,Total number of actual registered taxpayers,
Theme 2:  Tax Base,Population,Zambia,2010,Number of active corporate income taxpayers:,20755
Theme 2:  Tax Base,Population,Zambia,2010,Number of active VAT taxpayers:,7627
Theme 2:  Tax Base,Population,Zambia,2010,Number of active personal income taxpayers:,35308
Theme 2:  Tax Base,Population,Zambia,2010,Number of active wage taxpayers (employers):,13549
Theme 2:  Tax Base,Population,Zambia,2010,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Population,Zambia,2010,Total number of actual active taxpayers,
Theme 2:  Tax Base,Population,Zambia,2010,Number of large corporate income taxpayers,689
Theme 2:  Tax Base,Population,Zambia,2010,Number of large corporate income taxpayers,689
Theme 2:  Tax Base,Population,Zimbabwe,2010,Taxpayers, 
Theme 2:  Tax Base,Population,Zimbabwe,2010,Number of corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Zimbabwe,2010,Number of VAT taxpayers:,/
Theme 2:  Tax Base,Population,Zimbabwe,2010,Number of personal income taxpayers:,/
Theme 2:  Tax Base,Population,Zimbabwe,2010,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Population,Zimbabwe,2010,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Population,Zimbabwe,2010,Number of trust taxpayers:,/
Theme 2:  Tax Base,Population,Zimbabwe,2010,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Population,Zimbabwe,2010,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Population,Zimbabwe,2010,Total number of actual registered taxpayers,/
Theme 2:  Tax Base,Population,Zimbabwe,2010,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Zimbabwe,2010,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Population,Zimbabwe,2010,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Population,Zimbabwe,2010,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Population,Zimbabwe,2010,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Population,Zimbabwe,2010,Total number of actual active taxpayers,/
Theme 2:  Tax Base,Population,Zimbabwe,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Zimbabwe,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Angola,2011,Taxpayers, 
Theme 2:  Tax Base,Population,Angola,2011,Number of corporate income taxpayers:,84610
Theme 2:  Tax Base,Population,Angola,2011,Number of VAT taxpayers:,/
Theme 2:  Tax Base,Population,Angola,2011,Number of personal income taxpayers:,1393381
Theme 2:  Tax Base,Population,Angola,2011,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Population,Angola,2011,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Population,Angola,2011,Number of trust taxpayers:,/
Theme 2:  Tax Base,Population,Angola,2011,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Population,Angola,2011,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Population,Angola,2011,Total number of actual registered taxpayers,
Theme 2:  Tax Base,Population,Angola,2011,Number of active corporate income taxpayers:,84610
Theme 2:  Tax Base,Population,Angola,2011,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Population,Angola,2011,Number of active personal income taxpayers:,1393381
Theme 2:  Tax Base,Population,Angola,2011,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Population,Angola,2011,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Population,Angola,2011,Total number of actual active taxpayers,
Theme 2:  Tax Base,Population,Angola,2011,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Angola,2011,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Benin,2011,Taxpayers, 
Theme 2:  Tax Base,Population,Benin,2011,Number of corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Benin,2011,Number of VAT taxpayers:,/
Theme 2:  Tax Base,Population,Benin,2011,Number of personal income taxpayers:,/
Theme 2:  Tax Base,Population,Benin,2011,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Population,Benin,2011,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Population,Benin,2011,Number of trust taxpayers:,/
Theme 2:  Tax Base,Population,Benin,2011,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Population,Benin,2011,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Population,Benin,2011,Total number of actual registered taxpayers,/
Theme 2:  Tax Base,Population,Benin,2011,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Benin,2011,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Population,Benin,2011,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Population,Benin,2011,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Population,Benin,2011,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Population,Benin,2011,Total number of actual active taxpayers,/
Theme 2:  Tax Base,Population,Benin,2011,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Benin,2011,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Botswana,2011,Taxpayers, 
Theme 2:  Tax Base,Population,Botswana,2011,Number of corporate income taxpayers:,47391
Theme 2:  Tax Base,Population,Botswana,2011,Number of VAT taxpayers:,28157
Theme 2:  Tax Base,Population,Botswana,2011,Number of personal income taxpayers:,90807
Theme 2:  Tax Base,Population,Botswana,2011,Number of wage/salary taxpayers (employers):,47130
Theme 2:  Tax Base,Population,Botswana,2011,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Population,Botswana,2011,Number of trust taxpayers:,/
Theme 2:  Tax Base,Population,Botswana,2011,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Population,Botswana,2011,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Population,Botswana,2011,Total number of actual registered taxpayers,222577
Theme 2:  Tax Base,Population,Botswana,2011,Number of active corporate income taxpayers:,43232
Theme 2:  Tax Base,Population,Botswana,2011,Number of active VAT taxpayers:,20720
Theme 2:  Tax Base,Population,Botswana,2011,Number of active personal income taxpayers:,83791
Theme 2:  Tax Base,Population,Botswana,2011,Number of active wage taxpayers (employers):,38547
Theme 2:  Tax Base,Population,Botswana,2011,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Population,Botswana,2011,Total number of actual active taxpayers,/
Theme 2:  Tax Base,Population,Botswana,2011,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Botswana,2011,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Burundi,2011,Taxpayers, 
Theme 2:  Tax Base,Population,Burundi,2011,Number of corporate income taxpayers:,1783
Theme 2:  Tax Base,Population,Burundi,2011,Number of VAT taxpayers:,979
Theme 2:  Tax Base,Population,Burundi,2011,Number of personal income taxpayers:,/
Theme 2:  Tax Base,Population,Burundi,2011,Number of wage/salary taxpayers (employers):,1631
Theme 2:  Tax Base,Population,Burundi,2011,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Population,Burundi,2011,Number of trust taxpayers:,/
Theme 2:  Tax Base,Population,Burundi,2011,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Population,Burundi,2011,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Population,Burundi,2011,Total number of actual registered taxpayers,2080
Theme 2:  Tax Base,Population,Burundi,2011,Number of active corporate income taxpayers:,1783
Theme 2:  Tax Base,Population,Burundi,2011,Number of active VAT taxpayers:,979
Theme 2:  Tax Base,Population,Burundi,2011,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Population,Burundi,2011,Number of active wage taxpayers (employers):,1631
Theme 2:  Tax Base,Population,Burundi,2011,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Population,Burundi,2011,Total number of actual active taxpayers,2080
Theme 2:  Tax Base,Population,Burundi,2011,Number of large corporate income taxpayers,511
Theme 2:  Tax Base,Population,Burundi,2011,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Cameroon,2011,Taxpayers, 
Theme 2:  Tax Base,Population,Cameroon,2011,Number of corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Cameroon,2011,Number of VAT taxpayers:,/
Theme 2:  Tax Base,Population,Cameroon,2011,Number of personal income taxpayers:,/
Theme 2:  Tax Base,Population,Cameroon,2011,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Population,Cameroon,2011,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Population,Cameroon,2011,Number of trust taxpayers:,/
Theme 2:  Tax Base,Population,Cameroon,2011,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Population,Cameroon,2011,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Population,Cameroon,2011,Total number of actual registered taxpayers,
Theme 2:  Tax Base,Population,Cameroon,2011,Number of active corporate income taxpayers:,7218
Theme 2:  Tax Base,Population,Cameroon,2011,Number of active VAT taxpayers:,25406
Theme 2:  Tax Base,Population,Cameroon,2011,Number of active personal income taxpayers:,37460
Theme 2:  Tax Base,Population,Cameroon,2011,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Population,Cameroon,2011,Number of active wage taxpayers (employees):,815042
Theme 2:  Tax Base,Population,Cameroon,2011,Total number of actual active taxpayers,
Theme 2:  Tax Base,Population,Cameroon,2011,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Cameroon,2011,Number of large corporate income taxpayers,503
Theme 2:  Tax Base,Population,Chad,2011,Taxpayers, 
Theme 2:  Tax Base,Population,Chad,2011,Number of corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Chad,2011,Number of VAT taxpayers:,/
Theme 2:  Tax Base,Population,Chad,2011,Number of personal income taxpayers:,/
Theme 2:  Tax Base,Population,Chad,2011,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Population,Chad,2011,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Population,Chad,2011,Number of trust taxpayers:,/
Theme 2:  Tax Base,Population,Chad,2011,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Population,Chad,2011,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Population,Chad,2011,Total number of actual registered taxpayers,/
Theme 2:  Tax Base,Population,Chad,2011,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Chad,2011,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Population,Chad,2011,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Population,Chad,2011,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Population,Chad,2011,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Population,Chad,2011,Total number of actual active taxpayers,/
Theme 2:  Tax Base,Population,Chad,2011,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Chad,2011,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Congo,2011,Taxpayers, 
Theme 2:  Tax Base,Population,Congo,2011,Number of corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Congo,2011,Number of VAT taxpayers:,/
Theme 2:  Tax Base,Population,Congo,2011,Number of personal income taxpayers:,/
Theme 2:  Tax Base,Population,Congo,2011,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Population,Congo,2011,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Population,Congo,2011,Number of trust taxpayers:,/
Theme 2:  Tax Base,Population,Congo,2011,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Population,Congo,2011,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Population,Congo,2011,Total number of actual registered taxpayers,/
Theme 2:  Tax Base,Population,Congo,2011,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Congo,2011,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Population,Congo,2011,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Population,Congo,2011,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Population,Congo,2011,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Population,Congo,2011,Total number of actual active taxpayers,/
Theme 2:  Tax Base,Population,Congo,2011,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Congo,2011,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Eswatini,2011,Taxpayers, 
Theme 2:  Tax Base,Population,Eswatini,2011,Number of corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Eswatini,2011,Number of VAT taxpayers:,/
Theme 2:  Tax Base,Population,Eswatini,2011,Number of personal income taxpayers:,/
Theme 2:  Tax Base,Population,Eswatini,2011,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Population,Eswatini,2011,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Population,Eswatini,2011,Number of trust taxpayers:,/
Theme 2:  Tax Base,Population,Eswatini,2011,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Population,Eswatini,2011,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Population,Eswatini,2011,Total number of actual registered taxpayers,
Theme 2:  Tax Base,Population,Eswatini,2011,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Eswatini,2011,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Population,Eswatini,2011,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Population,Eswatini,2011,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Population,Eswatini,2011,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Population,Eswatini,2011,Total number of actual active taxpayers,
Theme 2:  Tax Base,Population,Eswatini,2011,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Eswatini,2011,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Gabon,2011,Taxpayers, 
Theme 2:  Tax Base,Population,Gabon,2011,Number of corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Gabon,2011,Number of VAT taxpayers:,/
Theme 2:  Tax Base,Population,Gabon,2011,Number of personal income taxpayers:,/
Theme 2:  Tax Base,Population,Gabon,2011,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Population,Gabon,2011,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Population,Gabon,2011,Number of trust taxpayers:,/
Theme 2:  Tax Base,Population,Gabon,2011,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Population,Gabon,2011,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Population,Gabon,2011,Total number of actual registered taxpayers,/
Theme 2:  Tax Base,Population,Gabon,2011,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Gabon,2011,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Population,Gabon,2011,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Population,Gabon,2011,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Population,Gabon,2011,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Population,Gabon,2011,Total number of actual active taxpayers,/
Theme 2:  Tax Base,Population,Gabon,2011,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Gabon,2011,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Gambia,2011,Taxpayers, 
Theme 2:  Tax Base,Population,Gambia,2011,Number of corporate income taxpayers:,265
Theme 2:  Tax Base,Population,Gambia,2011,Number of VAT taxpayers:,263
Theme 2:  Tax Base,Population,Gambia,2011,Number of personal income taxpayers:,325
Theme 2:  Tax Base,Population,Gambia,2011,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Population,Gambia,2011,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Population,Gambia,2011,Number of trust taxpayers:,/
Theme 2:  Tax Base,Population,Gambia,2011,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Population,Gambia,2011,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Population,Gambia,2011,Total number of actual registered taxpayers,
Theme 2:  Tax Base,Population,Gambia,2011,Number of active corporate income taxpayers:,265
Theme 2:  Tax Base,Population,Gambia,2011,Number of active VAT taxpayers:,263
Theme 2:  Tax Base,Population,Gambia,2011,Number of active personal income taxpayers:,325
Theme 2:  Tax Base,Population,Gambia,2011,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Population,Gambia,2011,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Population,Gambia,2011,Total number of actual active taxpayers,
Theme 2:  Tax Base,Population,Gambia,2011,Number of large corporate income taxpayers,344
Theme 2:  Tax Base,Population,Gambia,2011,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Ghana,2011,Taxpayers, 
Theme 2:  Tax Base,Population,Ghana,2011,Number of corporate income taxpayers:,20125
Theme 2:  Tax Base,Population,Ghana,2011,Number of VAT taxpayers:,31045
Theme 2:  Tax Base,Population,Ghana,2011,Number of personal income taxpayers:,189451
Theme 2:  Tax Base,Population,Ghana,2011,Number of wage/salary taxpayers (employers):,36014
Theme 2:  Tax Base,Population,Ghana,2011,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Population,Ghana,2011,Number of trust taxpayers:,/
Theme 2:  Tax Base,Population,Ghana,2011,Number presumptive taxpayers:,37418
Theme 2:  Tax Base,Population,Ghana,2011,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Population,Ghana,2011,Total number of actual registered taxpayers,/
Theme 2:  Tax Base,Population,Ghana,2011,Number of active corporate income taxpayers:,19258
Theme 2:  Tax Base,Population,Ghana,2011,Number of active VAT taxpayers:,30984
Theme 2:  Tax Base,Population,Ghana,2011,Number of active personal income taxpayers:,139845
Theme 2:  Tax Base,Population,Ghana,2011,Number of active wage taxpayers (employers):,35145
Theme 2:  Tax Base,Population,Ghana,2011,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Population,Ghana,2011,Total number of actual active taxpayers,/
Theme 2:  Tax Base,Population,Ghana,2011,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Ghana,2011,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Guinea-Bissau,2011,Taxpayers, 
Theme 2:  Tax Base,Population,Guinea-Bissau,2011,Number of corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Guinea-Bissau,2011,Number of VAT taxpayers:,/
Theme 2:  Tax Base,Population,Guinea-Bissau,2011,Number of personal income taxpayers:,/
Theme 2:  Tax Base,Population,Guinea-Bissau,2011,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Population,Guinea-Bissau,2011,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Population,Guinea-Bissau,2011,Number of trust taxpayers:,/
Theme 2:  Tax Base,Population,Guinea-Bissau,2011,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Population,Guinea-Bissau,2011,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Population,Guinea-Bissau,2011,Total number of actual registered taxpayers,/
Theme 2:  Tax Base,Population,Guinea-Bissau,2011,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Guinea-Bissau,2011,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Population,Guinea-Bissau,2011,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Population,Guinea-Bissau,2011,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Population,Guinea-Bissau,2011,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Population,Guinea-Bissau,2011,Total number of actual active taxpayers,/
Theme 2:  Tax Base,Population,Guinea-Bissau,2011,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Guinea-Bissau,2011,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Kenya,2011,Taxpayers, 
Theme 2:  Tax Base,Population,Kenya,2011,Number of corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Kenya,2011,Number of VAT taxpayers:,/
Theme 2:  Tax Base,Population,Kenya,2011,Number of personal income taxpayers:,/
Theme 2:  Tax Base,Population,Kenya,2011,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Population,Kenya,2011,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Population,Kenya,2011,Number of trust taxpayers:,/
Theme 2:  Tax Base,Population,Kenya,2011,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Population,Kenya,2011,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Population,Kenya,2011,Total number of actual registered taxpayers,
Theme 2:  Tax Base,Population,Kenya,2011,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Kenya,2011,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Population,Kenya,2011,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Population,Kenya,2011,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Population,Kenya,2011,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Population,Kenya,2011,Total number of actual active taxpayers,
Theme 2:  Tax Base,Population,Kenya,2011,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Kenya,2011,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Lesotho,2011,Taxpayers, 
Theme 2:  Tax Base,Population,Lesotho,2011,Number of corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Lesotho,2011,Number of VAT taxpayers:,/
Theme 2:  Tax Base,Population,Lesotho,2011,Number of personal income taxpayers:,/
Theme 2:  Tax Base,Population,Lesotho,2011,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Population,Lesotho,2011,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Population,Lesotho,2011,Number of trust taxpayers:,/
Theme 2:  Tax Base,Population,Lesotho,2011,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Population,Lesotho,2011,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Population,Lesotho,2011,Total number of actual registered taxpayers,/
Theme 2:  Tax Base,Population,Lesotho,2011,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Lesotho,2011,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Population,Lesotho,2011,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Population,Lesotho,2011,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Population,Lesotho,2011,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Population,Lesotho,2011,Total number of actual active taxpayers,/
Theme 2:  Tax Base,Population,Lesotho,2011,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Lesotho,2011,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Liberia,2011,Taxpayers, 
Theme 2:  Tax Base,Population,Liberia,2011,Number of corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Liberia,2011,Number of VAT taxpayers:,/
Theme 2:  Tax Base,Population,Liberia,2011,Number of personal income taxpayers:,/
Theme 2:  Tax Base,Population,Liberia,2011,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Population,Liberia,2011,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Population,Liberia,2011,Number of trust taxpayers:,/
Theme 2:  Tax Base,Population,Liberia,2011,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Population,Liberia,2011,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Population,Liberia,2011,Total number of actual registered taxpayers,/
Theme 2:  Tax Base,Population,Liberia,2011,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Liberia,2011,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Population,Liberia,2011,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Population,Liberia,2011,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Population,Liberia,2011,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Population,Liberia,2011,Total number of actual active taxpayers,/
Theme 2:  Tax Base,Population,Liberia,2011,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Liberia,2011,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Madagascar,2011,Taxpayers, 
Theme 2:  Tax Base,Population,Madagascar,2011,Number of corporate income taxpayers:,8522
Theme 2:  Tax Base,Population,Madagascar,2011,Number of VAT taxpayers:,1470
Theme 2:  Tax Base,Population,Madagascar,2011,Number of personal income taxpayers:,60825
